utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], power.draw [W]
16 %, 10 %, 16160 MiB, 258 MiB, 15902 MiB, 48.98 W
39 %, 20 %, 16160 MiB, 258 MiB, 15902 MiB, 48.50 W
45 %, 23 %, 16160 MiB, 258 MiB, 15902 MiB, 167.62 W
32 %, 14 %, 16160 MiB, 258 MiB, 15902 MiB, 163.92 W
23 %, 13 %, 16160 MiB, 258 MiB, 15902 MiB, 49.94 W
42 %, 22 %, 16160 MiB, 258 MiB, 15902 MiB, 49.46 W
34 %, 19 %, 16160 MiB, 258 MiB, 15902 MiB, 51.86 W
45 %, 23 %, 16160 MiB, 258 MiB, 15902 MiB, 49.94 W
38 %, 18 %, 16160 MiB, 258 MiB, 15902 MiB, 49.46 W
38 %, 20 %, 16160 MiB, 258 MiB, 15902 MiB, 70.97 W
41 %, 20 %, 16160 MiB, 258 MiB, 15902 MiB, 50.42 W
28 %, 12 %, 16160 MiB, 258 MiB, 15902 MiB, 49.94 W
12 %, 5 %, 16160 MiB, 258 MiB, 15902 MiB, 50.42 W
42 %, 21 %, 16160 MiB, 258 MiB, 15902 MiB, 66.66 W
27 %, 14 %, 16160 MiB, 258 MiB, 15902 MiB, 50.90 W
33 %, 15 %, 16160 MiB, 258 MiB, 15902 MiB, 213.96 W
42 %, 22 %, 16160 MiB, 258 MiB, 15902 MiB, 51.86 W
45 %, 23 %, 16160 MiB, 258 MiB, 15902 MiB, 50.90 W
39 %, 19 %, 16160 MiB, 258 MiB, 15902 MiB, 56.17 W
23 %, 10 %, 16160 MiB, 258 MiB, 15902 MiB, 49.94 W
0 %, 0 %, 16160 MiB, 258 MiB, 15902 MiB, 50.90 W
45 %, 23 %, 16160 MiB, 258 MiB, 15902 MiB, 52.81 W
45 %, 23 %, 16160 MiB, 258 MiB, 15902 MiB, 292.41 W
45 %, 22 %, 16160 MiB, 258 MiB, 15902 MiB, 50.90 W
37 %, 19 %, 16160 MiB, 258 MiB, 15902 MiB, 51.38 W
12 %, 8 %, 16160 MiB, 258 MiB, 15902 MiB, 51.86 W
23 %, 13 %, 16160 MiB, 258 MiB, 15902 MiB, 51.86 W
45 %, 23 %, 16160 MiB, 258 MiB, 15902 MiB, 51.38 W
37 %, 20 %, 16160 MiB, 258 MiB, 15902 MiB, 51.86 W
0 %, 0 %, 16160 MiB, 258 MiB, 15902 MiB, 50.42 W
0 %, 0 %, 16160 MiB, 16160 MiB, 0 MiB, 50.90 W
0 %, 0 %, 16160 MiB, 16160 MiB, 0 MiB, 50.90 W
0 %, 0 %, 16160 MiB, 16160 MiB, 0 MiB, 50.90 W
0 %, 0 %, 16160 MiB, 16160 MiB, 0 MiB, 50.90 W
