utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], power.draw [W]
0 %, 0 %, 16160 MiB, 16160 MiB, 0 MiB, 24.58 W
0 %, 0 %, 16160 MiB, 16160 MiB, 0 MiB, 24.58 W
0 %, 0 %, 16160 MiB, 16160 MiB, 0 MiB, 24.58 W
0 %, 0 %, 16160 MiB, 16160 MiB, 0 MiB, 24.58 W
0 %, 0 %, 16160 MiB, 16160 MiB, 0 MiB, 24.58 W
0 %, 0 %, 16160 MiB, 16160 MiB, 0 MiB, 24.58 W
0 %, 0 %, 16160 MiB, 16160 MiB, 0 MiB, 24.58 W
0 %, 0 %, 16160 MiB, 16160 MiB, 0 MiB, 24.58 W
0 %, 0 %, 16160 MiB, 490 MiB, 15670 MiB, 43.26 W
75 %, 12 %, 16160 MiB, 490 MiB, 15670 MiB, 115.58 W
75 %, 12 %, 16160 MiB, 490 MiB, 15670 MiB, 114.23 W
75 %, 12 %, 16160 MiB, 490 MiB, 15670 MiB, 120.35 W
75 %, 12 %, 16160 MiB, 490 MiB, 15670 MiB, 115.50 W
75 %, 12 %, 16160 MiB, 490 MiB, 15670 MiB, 117.09 W
75 %, 12 %, 16160 MiB, 490 MiB, 15670 MiB, 117.97 W
74 %, 12 %, 16160 MiB, 490 MiB, 15670 MiB, 117.49 W
74 %, 12 %, 16160 MiB, 490 MiB, 15670 MiB, 119.80 W
75 %, 12 %, 16160 MiB, 490 MiB, 15670 MiB, 116.14 W
75 %, 12 %, 16160 MiB, 490 MiB, 15670 MiB, 118.05 W
76 %, 12 %, 16160 MiB, 490 MiB, 15670 MiB, 120.91 W
75 %, 12 %, 16160 MiB, 490 MiB, 15670 MiB, 121.31 W
74 %, 12 %, 16160 MiB, 490 MiB, 15670 MiB, 121.87 W
75 %, 12 %, 16160 MiB, 490 MiB, 15670 MiB, 118.52 W
75 %, 12 %, 16160 MiB, 490 MiB, 15670 MiB, 118.52 W
0 %, 0 %, 16160 MiB, 16160 MiB, 0 MiB, 50.90 W
